timestamp,T1pig,T2dog,T3fish,T4,T5,T6,T7,T8
2024-09-05 11:51:23,20.7,24.7,23.2,22.5,22.8,22.1,26.4,26.5
2024-09-05 11:51:23,20.7,24.7,23.2,22.5,22.8,22.2,26.5,26.5
2024-09-05 11:51:24,20.8,24.7,23.2,22.5,22.8,22.2,26.4,26.5
2024-09-05 11:51:24,20.8,24.7,23.2,22.5,22.9,22.2,26.4,26.5
2024-09-05 11:51:25,20.8,24.8,23.3,22.5,22.9,22.3,26.4,26.5
2024-09-05 11:51:25,33.5,31.1,24.4,22.6,56.5,23.7,26.4,26.5
2024-09-05 11:51:26,89.4,62.6,27.5,22.8,110.5,25.2,26.4,26.5
2024-09-05 11:51:26,174.9,86.5,29.4,22.9,151.3,25.2,26.4,26.5
2024-09-05 11:51:27,231.3,85.9,29.7,49.1,163.3,25.4,26.5,26.5
2024-09-05 11:51:27,240.4,88.4,30.0,118.0,173.6,34.0,26.5,26.5
2024-09-05 11:51:28,227.3,94.9,30.2,231.5,165.3,46.2,26.4,26.5
2024-09-05 11:51:28,212.9,101.4,31.4,329.7,156.3,52.2,26.4,26.5
2024-09-05 11:51:29,199.1,98.5,60.9,333.5,145.1,54.3,26.4,26.5
2024-09-05 11:51:29,185.4,92.9,149.7,286.9,137.3,54.8,26.4,26.5
2024-09-05 11:51:30,174.8,86.5,225.9,257.3,128.1,53.8,26.4,26.5
2024-09-05 11:51:30,162.3,82.3,242.2,226.7,119.6,51.7,26.5,26.5
2024-09-05 11:51:31,150.9,79.8,258.7,201.4,113.9,49.6,26.5,26.5
2024-09-05 11:51:31,140.5,77.4,321.7,180.2,107.4,47.5,26.5,26.5
2024-09-05 11:51:32,131.1,73.9,420.2,162.3,100.5,45.5,26.4,26.5
2024-09-05 11:51:32,124.3,70.9,500.0,146.8,95.5,43.6,26.5,26.5
2024-09-05 11:51:33,116.6,67.9,531.6,135.9,89.9,42.5,26.5,26.5
2024-09-05 11:51:33,110.1,65.4,484.2,123.9,84.9,41.2,26.5,26.5
2024-09-05 11:51:34,108.0,62.6,425.3,113.4,81.1,39.8,26.4,26.5
2024-09-05 11:51:34,156.8,60.4,386.6,104.4,77.5,40.0,26.5,26.5
2024-09-05 11:51:35,254.2,58.6,346.9,96.7,74.5,54.7,26.5,26.5
2024-09-05 11:51:35,327.3,57.3,313.9,90.1,71.9,64.9,26.4,26.5
2024-09-05 11:51:36,371.6,64.6,288.6,86.0,85.5,58.9,26.5,26.5
2024-09-05 11:51:36,359.4,73.2,276.0,117.8,110.7,54.6,26.5,26.5
2024-09-05 11:51:37,330.5,76.4,277.1,193.7,117.0,51.5,26.5,26.5
2024-09-05 11:51:37,304.9,75.1,277.7,236.3,111.7,53.1,26.4,26.5
2024-09-05 11:51:38,286.4,77.6,262.0,243.9,107.1,57.4,26.5,26.5
2024-09-05 11:51:38,265.4,83.0,240.1,238.0,103.7,63.3,26.5,26.5
2024-09-05 11:51:39,247.0,86.0,229.9,259.0,102.2,65.9,26.5,26.5
2024-09-05 11:51:39,230.9,84.6,220.5,268.7,101.3,64.8,26.5,26.5
2024-09-05 11:51:40,218.9,80.9,205.7,237.8,99.3,62.0,26.5,26.5
2024-09-05 11:51:40,205.0,77.4,192.4,216.1,96.5,59.1,26.5,26.5
2024-09-05 11:51:41,192.2,74.2,177.2,193.9,93.8,56.3,26.5,26.5
2024-09-05 11:51:41,180.5,71.8,164.0,175.6,90.0,54.1,26.5,26.5
2024-09-05 11:51:42,167.1,68.9,152.0,133.9,85.9,51.3,26.5,26.5
2024-09-05 11:51:42,154.8,66.2,143.3,77.8,82.5,48.9,26.5,26.5
2024-09-05 11:51:43,136.4,63.8,133.4,49.6,71.8,46.6,26.5,26.5
2024-09-05 11:51:43,105.4,61.5,124.1,42.7,58.6,44.5,26.5,26.5
2024-09-05 11:51:44,72.6,59.8,114.5,39.7,51.4,42.6,26.5,26.5
2024-09-05 11:51:44,53.0,56.9,107.0,37.0,43.6,41.1,26.5,26.5
2024-09-05 11:51:45,43.1,54.4,98.7,35.3,37.5,39.7,26.5,26.5
2024-09-05 11:51:45,41.7,52.6,89.3,34.2,34.3,38.5,26.5,26.5
2024-09-05 11:51:46,40.2,50.3,80.8,33.7,32.6,37.8,26.5,26.5
2024-09-05 11:51:46,38.3,44.8,73.8,32.1,31.1,35.8,26.5,26.5
2024-09-05 11:51:47,36.3,39.7,72.4,29.4,29.3,33.1,26.5,26.5
2024-09-05 11:51:47,33.8,36.0,71.0,28.1,27.5,31.2,26.5,26.5
2024-09-05 11:51:48,31.2,33.8,68.7,27.4,25.8,30.2,26.5,26.5
2024-09-05 11:51:48,29.5,32.5,67.0,27.0,24.9,29.7,26.5,26.5
2024-09-05 11:51:49,28.6,32.1,65.0,26.7,24.6,29.5,26.5,26.5
2024-09-05 11:51:49,28.1,31.8,62.8,26.3,24.5,29.3,26.5,26.5
2024-09-05 11:51:50,27.7,31.4,60.7,26.0,24.2,29.0,26.5,26.5
2024-09-05 11:51:50,27.4,31.1,59.0,25.6,23.9,28.9,26.5,26.5
